stage,machine_id,auc_mean,auc_std
B0_zeroshot_cosine,id_00,0.6709657807886051,0.027300106105937992
B1_zeroshot_fusion,id_00,0.6714434601354872,0.03529066206876412
B2_finetuned_fusion,id_00,0.8281657113079728,0.049350091020053576
