stage,machine_id,auc_mean,auc_std
B0_zeroshot_cosine,id_00,0.5588888888888889,0.016372977838260885
B0_zeroshot_cosine,id_02,0.5810222222222222,0.028229208817334487
B0_zeroshot_cosine,id_04,0.5221333333333333,0.016178917338782125
B0_zeroshot_cosine,id_06,0.7084444444444444,0.019235392619286685
B1_zeroshot_fusion,id_00,0.5592592592592592,0.01576102745009282
B1_zeroshot_fusion,id_02,0.590725925925926,0.029486588055783393
B1_zeroshot_fusion,id_04,0.5253037037037037,0.012040772070091514
B1_zeroshot_fusion,id_06,0.7226370370370371,0.01894919639181949
B2_finetuned_fusion,id_00,0.6745185185185186,0.009301627510732885
B2_finetuned_fusion,id_02,0.9531703703703703,0.01967553542096144
B2_finetuned_fusion,id_04,0.5718074074074074,0.026343356950441644
B2_finetuned_fusion,id_06,0.9978222222222222,0.0024537197763275327
